                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0748,                  7.356,                0.69126,                0.85829,                 1.1201,                0.99473,                 0.9906,                0.99491,                 0.8269,                 0.5516,                0.54895,                0.33746,                0.08428,                0.70982,                 4.6475,                0.56381,                0.48554,                0.90092,              0.0006621,              0.0006621,              0.0006621
                      2,                0.85307,                 3.7709,                0.58229,                0.58413,                 1.0106,                0.99532,                      1,                0.99458,                0.84351,                0.90195,                0.90559,                0.83019,                0.34047,                 0.6419,                 2.4546,                0.45484,                0.50686,                0.87354,              0.0013025,              0.0013025,              0.0013025
                      3,                0.83895,                 2.9809,                0.53683,                0.55517,                 0.9879,                0.99571,                 0.9965,                0.99481,                0.85141,                0.98167,                0.98252,                0.97463,                 0.4032,                0.60905,                 2.2826,                0.42225,                0.65595,                0.86045,              0.0019164,              0.0019164,              0.0019164
                      4,                0.78523,                 2.5804,                0.51552,                0.52391,                0.98124,                0.99476,                0.99572,                0.99496,                0.88437,                0.99301,                0.99397,                0.99463,                0.70081,                0.54666,                 1.2133,                0.40664,                0.38431,                0.84357,              0.0018812,              0.0018812,              0.0018812
                      5,                0.76843,                 2.2666,                0.49539,                0.51884,                0.97139,                0.98785,                0.99532,                0.99459,                0.86576,                0.98612,                0.99357,                0.99446,                 0.6692,                0.56224,                 1.1969,                 0.3838,                0.51463,                0.84797,              0.0018812,              0.0018812,              0.0018812
                      6,                0.76144,                 2.0997,                0.48237,                0.50583,                0.96561,                0.99131,                0.99661,                  0.995,                 0.8743,                0.97914,                0.98462,                 0.9769,                0.68793,                0.54972,                 1.1333,                0.36503,                0.40947,                0.85069,              0.0018416,              0.0018416,              0.0018416
                      7,                0.72064,                 1.8838,                0.46007,                0.48399,                0.95299,                0.99978,                      1,                  0.995,                0.85889,                0.99978,                      1,                  0.995,                0.77034,                0.60681,                0.90327,                0.36512,                0.37366,                0.86582,               0.001802,               0.001802,               0.001802
                      8,                0.67553,                  1.727,                0.45754,                0.45511,                0.94363,                0.99967,                      1,                  0.995,                0.90016,                0.99792,                0.99825,                  0.995,                0.78762,                0.49875,                0.84682,                0.36482,                0.34094,                0.83088,              0.0017624,              0.0017624,              0.0017624
                      9,                 0.6524,                  1.563,                0.44456,                0.44097,                0.92723,                0.99995,                      1,                  0.995,                0.88825,                0.99995,                      1,                  0.995,                0.80532,                0.51551,                0.80565,                0.35224,                0.34374,                0.84526,              0.0017228,              0.0017228,              0.0017228
                     10,                0.63472,                 1.5105,                0.43093,                0.42715,                  0.925,                0.99967,                      1,                  0.995,                 0.9239,                0.99967,                      1,                  0.995,                0.81629,                0.43278,                0.75288,                0.35211,                0.30984,                0.81702,              0.0016832,              0.0016832,              0.0016832
