                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0662,                 7.3499,                0.69345,                0.86368,                 1.1266,                0.99787,                0.99652,                  0.995,                 0.8276,                0.50594,                0.50435,                0.26851,                0.05627,                0.72354,                 4.8925,                0.57269,                0.51605,                0.91671,             0.00066213,             0.00066213,             0.00066213
                      2,                0.82989,                 3.7719,                0.58437,                0.56112,                 1.0017,                0.99457,                      1,                0.99398,                0.83841,                0.89049,                0.89391,                0.80955,                0.35637,                 0.6648,                 2.3805,                0.46281,                0.49218,                 0.8888,              0.0013025,              0.0013025,              0.0013025
                      3,                0.82086,                 2.8928,                0.53941,                0.56527,                0.99652,                0.96603,                0.98909,                0.99183,                0.80201,                0.92463,                0.94783,                0.90565,                0.45021,                0.72859,                 1.8739,                0.42765,                0.76301,                0.93144,              0.0019164,              0.0019164,              0.0019164
                      4,                0.81415,                 2.5644,                0.52697,                0.53811,                  0.997,                0.99787,                      1,                0.99486,                0.86111,                0.99439,                0.99652,                0.99171,                0.59193,                0.61351,                 1.3186,                0.40779,                0.41808,                 0.8981,              0.0018812,              0.0018812,              0.0018812
                      5,                0.76806,                 2.1774,                 0.5089,                0.50947,                0.98136,                0.99282,                      1,                0.99497,                0.86805,                0.97709,                0.98435,                0.97261,                0.61401,                0.55291,                 1.2976,                0.39215,                0.40744,                0.86461,              0.0018812,              0.0018812,              0.0018812
                      6,                0.70473,                 1.9969,                 0.4877,                0.47471,                0.94987,                0.99817,                      1,                  0.995,                0.87535,                0.99817,                      1,                  0.995,                0.72064,                 0.5188,                 1.0372,                0.39412,                0.36276,                0.84375,              0.0018416,              0.0018416,              0.0018416
                      7,                 0.6961,                 1.8199,                0.47348,                0.46183,                0.94545,                0.99995,                      1,                  0.995,                0.88222,                0.99804,                0.99652,                  0.995,                0.75713,                0.53548,                0.96352,                0.37233,                 0.3557,                0.85655,               0.001802,               0.001802,               0.001802
                      8,                0.67818,                 1.6941,                 0.4585,                0.45075,                0.93992,                0.99653,                0.99869,                  0.995,                  0.887,                0.99653,                0.99869,                  0.995,                0.80803,                0.49252,                0.82297,                0.36495,                0.35472,                0.84363,              0.0017624,              0.0017624,              0.0017624
                      9,                0.65544,                 1.5599,                0.44469,                0.43704,                0.93636,                0.99981,                      1,                  0.995,                 0.9028,                0.99981,                      1,                  0.995,                0.81928,                0.46584,                0.78741,                0.36027,                0.33217,                0.83023,              0.0017228,              0.0017228,              0.0017228
                     10,                  0.643,                 1.4743,                0.43524,                0.42345,                0.93055,                0.99986,                      1,                  0.995,                0.90026,                0.99986,                      1,                  0.995,                0.81447,                0.46203,                0.73291,                  0.345,                0.31818,                0.84196,              0.0016832,              0.0016832,              0.0016832
                     11,                0.61166,                 1.4143,                 0.4267,                0.40403,                0.92102,                0.99957,                      1,                  0.995,                 0.9002,                0.99957,                      1,                  0.995,                0.84932,                0.47924,                 0.6633,                0.34484,                0.31538,                0.83635,              0.0016436,              0.0016436,              0.0016436
                     12,                0.59999,                 1.3879,                0.41782,                  0.404,                0.91564,                0.99953,                      1,                  0.995,                0.92732,                0.99953,                      1,                  0.995,                 0.8387,                0.40781,                0.61347,                0.34771,                0.29889,                0.81595,               0.001604,               0.001604,               0.001604
                     13,                0.58749,                 1.2553,                0.40988,                0.39361,                0.91199,                0.99973,                      1,                  0.995,                0.93829,                0.99973,                      1,                  0.995,                0.87085,                0.37714,                0.55787,                0.33487,                0.29019,                0.81146,              0.0015644,              0.0015644,              0.0015644
                     14,                0.58916,                 1.2476,                0.40762,                0.39267,                0.91343,                 0.9997,                      1,                  0.995,                0.93461,                 0.9997,                      1,                  0.995,                0.86173,                0.37745,                0.62427,                0.33923,                0.28579,                0.81319,              0.0015248,              0.0015248,              0.0015248
                     15,                0.58598,                 1.2653,                0.40016,                0.38349,                0.90934,                0.99778,                      1,                0.99498,                0.93296,                0.99778,                      1,                0.99498,                0.86123,                0.38049,                0.57576,                0.33212,                0.27452,                0.81216,              0.0014852,              0.0014852,              0.0014852
                     16,                0.56694,                 1.1721,                0.39008,                0.37679,                0.91054,                0.99983,                      1,                  0.995,                0.92589,                0.99983,                      1,                  0.995,                 0.8871,                  0.384,                 0.4811,                0.32141,                0.27503,                 0.8158,              0.0014456,              0.0014456,              0.0014456
                     17,                0.54421,                 1.1257,                0.39077,                0.36959,                0.90214,                0.99982,                      1,                  0.995,                0.91758,                0.99982,                      1,                  0.995,                0.88635,                  0.405,                0.47438,                0.32801,                0.28015,                0.81314,               0.001406,               0.001406,               0.001406
                     18,                0.52335,                 1.0431,                0.38682,                0.35942,                0.89383,                0.99989,                      1,                  0.995,                0.92171,                0.99989,                      1,                  0.995,                0.90261,                0.42667,                0.48704,                0.32137,                0.27981,                0.82137,              0.0013664,              0.0013664,              0.0013664
                     19,                0.51173,                 1.0139,                0.38416,                0.34622,                0.89022,                0.99979,                      1,                  0.995,                0.94864,                0.99979,                      1,                  0.995,                0.90691,                0.33894,                0.44045,                0.31578,                0.25404,                0.80118,              0.0013268,              0.0013268,              0.0013268
                     20,                0.50409,                 1.0018,                 0.3733,                0.34751,                0.88589,                0.99985,                      1,                  0.995,                0.94179,                0.99985,                      1,                  0.995,                0.90117,                0.35306,                0.46366,                0.31034,                0.25167,                0.80373,              0.0012872,              0.0012872,              0.0012872
                     21,                0.51095,                0.99893,                0.37753,                0.34929,                0.89203,                0.99981,                      1,                  0.995,                0.95494,                0.99981,                      1,                  0.995,                0.91343,                0.32082,                0.42514,                0.31082,                0.24246,                0.80102,              0.0012476,              0.0012476,              0.0012476
                     22,                0.50523,                0.95077,                0.37591,                0.33953,                0.88303,                0.99983,                      1,                  0.995,                0.91056,                0.99983,                      1,                  0.995,                0.91366,                0.42171,                0.44399,                0.31174,                0.27251,                0.81836,               0.001208,               0.001208,               0.001208
                     23,                0.49035,                0.93159,                0.36674,                0.33738,                0.88265,                0.99986,                      1,                  0.995,                0.96058,                0.99986,                      1,                  0.995,                 0.9258,                 0.3223,                0.37834,                 0.3022,                0.24494,                0.79849,              0.0011684,              0.0011684,              0.0011684
                     24,                0.47433,                0.86653,                0.35998,                0.32291,                0.87685,                0.99978,                      1,                  0.995,                0.96015,                0.99978,                      1,                  0.995,                0.93688,                0.31821,                0.35711,                0.29814,                0.23461,                 0.7977,              0.0011288,              0.0011288,              0.0011288
                     25,                0.46816,                0.85761,                0.36161,                0.32274,                0.87609,                 0.9998,                      1,                  0.995,                0.96683,                 0.9998,                      1,                  0.995,                0.93742,                0.30168,                0.37112,                0.29781,                0.24054,                0.79516,              0.0010892,              0.0010892,              0.0010892
                     26,                0.46941,                0.84284,                0.35269,                0.31997,                0.87395,                0.99981,                      1,                  0.995,                0.95759,                0.99981,                      1,                  0.995,                0.93182,                0.32036,                0.37746,                0.29625,                0.23554,                0.79542,              0.0010496,              0.0010496,              0.0010496
                     27,                0.47112,                0.82609,                0.35594,                0.31635,                0.87804,                0.99982,                      1,                  0.995,                0.96344,                0.99819,                0.99826,                  0.995,                0.93615,                0.29898,                0.36076,                0.29914,                0.23045,                0.78956,                0.00101,                0.00101,                0.00101
                     28,                0.45778,                0.82467,                0.35298,                0.31408,                0.87042,                0.99985,                      1,                  0.995,                0.94863,                0.99985,                      1,                  0.995,                0.94866,                0.35304,                0.32552,                0.29154,                0.24034,                0.80186,              0.0009704,              0.0009704,              0.0009704
                     29,                0.44557,                0.76142,                0.34574,                0.30646,                0.86914,                0.99983,                      1,                  0.995,                0.95623,                0.99983,                      1,                  0.995,                0.94913,                0.32926,                 0.3168,                0.28857,                0.22788,                0.79816,              0.0009308,              0.0009308,              0.0009308
