                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4781,                 8.8681,                0.68382,                 2.1176,                 1.3525,                0.92794,                  0.955,                0.96989,                0.63688,                0.00965,                   0.01,                  9e-05,                  1e-05,                 1.1305,                 7.8841,                0.65029,                  1.195,                 1.0696,             0.00054455,             0.00054455,             0.00054455
                      2,                  1.045,                  6.451,                0.58222,                 1.0014,                 1.0787,                0.99003,                 0.9934,                0.99288,                0.76953,                 0.5074,                    0.5,                0.26753,                0.05123,                0.82843,                 4.7973,                0.44468,                0.87452,                0.97047,              0.0010784,              0.0010784,              0.0010784
                      3,                0.97301,                 4.9197,                 0.4798,                0.84528,                  1.063,                0.99294,                  0.985,                0.99389,                0.81008,                0.61133,                    0.6,                0.40084,                0.09339,                0.72345,                  3.999,                0.29016,                0.66885,                0.91911,              0.0015903,              0.0015903,              0.0015903
                      4,                 1.0021,                 4.0761,                0.40877,                0.81099,                 1.0736,                0.98859,                  0.985,                0.99322,                0.77459,                0.85809,                  0.855,                0.78158,                0.27547,                0.79115,                  3.005,                 0.1966,                0.73725,                 0.9539,               0.001568,               0.001568,               0.001568
                      5,                0.90852,                  3.605,                0.37437,                0.70099,                 1.0265,                0.99999,                   0.99,                 0.9948,                0.75884,                0.80555,                  0.795,                0.68682,                0.25171,                0.85398,                 2.8915,                0.14739,                0.60221,                0.98002,               0.001568,               0.001568,               0.001568
                      6,                0.91506,                 3.2053,                0.34277,                 0.6645,                 1.0333,                0.99502,                0.99928,                 0.9949,                0.79408,                0.89546,                0.89945,                 0.8514,                0.35353,                0.76466,                 2.2863,                0.11305,                0.56978,                0.95062,               0.001535,               0.001535,               0.001535
                      7,                0.88189,                 2.7029,                0.34375,                0.61559,                 1.0143,                0.98937,                   0.99,                 0.9948,                0.82061,                0.95425,                  0.955,                0.95256,                0.47781,                0.69901,                 2.0181,                 0.1184,                0.52467,                0.90361,               0.001502,               0.001502,               0.001502
                      8,                0.83451,                 2.7416,                0.35582,                 0.5876,                0.99582,                      1,                 0.9936,                  0.995,                0.79615,                0.94467,                0.93899,                0.88933,                0.39702,                0.73391,                  2.085,                0.10052,                0.53819,                0.91855,               0.001469,               0.001469,               0.001469
                      9,                0.81738,                  2.458,                0.32572,                0.55497,                0.97917,                0.99475,                      1,                0.99485,                 0.8329,                0.90368,                  0.905,                0.86142,                0.51948,                0.66469,                 2.0406,                0.09428,                0.46021,                0.90827,               0.001436,               0.001436,               0.001436
                     10,                0.83178,                 2.3695,                0.33868,                0.55693,                0.98975,                      1,                0.99953,                  0.995,                0.79741,                0.95498,                0.95459,                 0.9166,                0.50807,                0.75183,                 1.6603,                0.08938,                0.47946,                0.91752,              0.0014029,              0.0014029,              0.0014029
                     11,                 0.7693,                 2.1165,                0.33804,                0.52298,                 0.9637,                 0.9891,                  0.995,                0.99485,                0.82797,                0.97984,                0.97186,                0.97961,                 0.6129,                0.64113,                 1.2838,                0.09307,                0.51005,                0.89138,              0.0013699,              0.0013699,              0.0013699
                     12,                0.78422,                 2.0462,                 0.3409,                0.52795,                0.98142,                0.99944,                      1,                  0.995,                0.85238,                0.99442,                  0.995,                0.99495,                0.62806,                0.57748,                 1.2776,                0.08773,                0.42301,                0.86848,              0.0013369,              0.0013369,              0.0013369
