                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1175,                 7.4563,                0.67616,                0.82319,                 1.1216,                0.99286,                 0.9951,                0.99463,                0.83165,                0.57878,                0.53488,                  0.371,                0.08513,                 0.6919,                 4.9166,                0.53859,                0.47281,                 0.8867,             0.00066197,             0.00066197,             0.00066197
                      2,                0.87478,                 4.3374,                0.56651,                0.58604,                 1.0109,                0.99095,                0.99642,                0.99484,                0.83085,                0.75917,                0.76129,                0.60314,                 0.2317,                0.63089,                  2.903,                0.43141,                0.63624,                0.86964,               0.001276,               0.001276,               0.001276
                      3,                0.87417,                 3.3308,                0.51827,                0.58909,                 1.0097,                0.96521,                0.98748,                 0.9934,                0.83049,                 0.9407,                 0.9195,                0.91868,                0.51947,                0.68281,                 1.8295,                0.40652,                0.66966,                0.90196,              0.0018373,              0.0018373,              0.0018373
                      4,                 0.8575,                 2.8031,                0.49905,                0.56138,                  1.003,                0.99255,                0.99821,                0.99489,                0.83656,                0.97473,                0.98032,                0.97637,                0.55377,                0.66978,                 1.6272,                0.39025,                0.43677,                0.88671,              0.0017624,              0.0017624,              0.0017624
                      5,                0.81452,                 2.4934,                0.49037,                0.52428,                0.98306,                0.99025,                0.99642,                0.99484,                0.84541,                0.97633,                0.97853,                0.97946,                0.57755,                0.64487,                 1.4411,                0.36828,                0.43791,                0.89302,              0.0017624,              0.0017624,              0.0017624
                      6,                0.77618,                 2.2528,                0.47999,                0.51148,                0.97196,                0.98554,                0.99642,                0.99475,                0.85135,                0.98178,                0.98569,                0.99021,                0.63741,                0.60743,                   1.19,                0.36967,                0.44534,                 0.8714,              0.0016832,              0.0016832,              0.0016832
                      7,                0.72417,                  2.102,                0.46511,                0.47554,                0.95319,                0.99578,                      1,                  0.995,                0.87869,                0.98687,                0.99106,                0.99067,                0.66719,                0.54887,                 1.2481,                0.35532,                0.38512,                0.84953,               0.001604,               0.001604,               0.001604
                      8,                0.68808,                 1.8422,                0.44627,                0.44844,                0.94501,                0.99447,                0.99821,                0.99496,                0.89954,                0.98554,                0.98927,                0.99384,                0.71007,                0.48477,                 1.0805,                0.34296,                0.34865,                 0.8326,              0.0015248,              0.0015248,              0.0015248
                      9,                0.67016,                 1.7356,                0.43564,                 0.4395,                0.93662,                0.99413,                      1,                0.99493,                0.86566,                0.99235,                0.99821,                0.99467,                0.74198,                 0.5918,                0.95674,                0.34531,                 0.3571,                0.86053,              0.0014456,              0.0014456,              0.0014456
                     10,                0.64562,                  1.615,                0.42049,                0.42493,                0.93081,                0.99807,                      1,                  0.995,                0.87575,                0.99807,                      1,                  0.995,                 0.7651,                0.54546,                0.89043,                0.33055,                0.34648,                0.84494,              0.0013664,              0.0013664,              0.0013664
                     11,                0.62594,                 1.5343,                0.40836,                0.41476,                0.91751,                0.99971,                      1,                  0.995,                0.90492,                0.99971,                      1,                  0.995,                0.79343,                0.48926,                0.80182,                0.32132,                0.32068,                0.82999,              0.0012872,              0.0012872,              0.0012872
                     12,                0.61024,                 1.4434,                 0.4036,                 0.4031,                0.91272,                 0.9997,                      1,                  0.995,                0.89161,                0.99254,                0.99284,                0.99226,                0.79328,                0.49416,                0.80791,                0.31565,                0.31253,                0.83037,               0.001208,               0.001208,               0.001208
                     13,                0.59065,                 1.3459,                0.38736,                0.38662,                0.90502,                0.99979,                      1,                  0.995,                0.92575,                0.99622,                0.99642,                0.99424,                0.84458,                0.40389,                0.66999,                0.31169,                0.28302,                0.81119,              0.0011288,              0.0011288,              0.0011288
                     14,                0.56856,                 1.2966,                0.37982,                0.37533,                0.89993,                0.99984,                      1,                  0.995,                0.91782,                0.99805,                0.99821,                0.99496,                0.83528,                0.43611,                0.65733,                0.31155,                0.29009,                0.81551,              0.0010496,              0.0010496,              0.0010496
                     15,                0.55486,                 1.2662,                0.37967,                0.36877,                0.89781,                 0.9996,                      1,                  0.995,                0.92682,                0.99602,                0.99642,                0.99444,                0.83042,                 0.3944,                0.65891,                0.30869,                0.27816,                 0.8068,              0.0009704,              0.0009704,              0.0009704
                     16,                0.44682,                 0.6968,                0.29715,                0.30469,                0.82879,                0.99985,                      1,                  0.995,                0.93567,                0.99806,                0.99821,                 0.9947,                0.85824,                0.39534,                0.57246,                0.28058,                0.29035,                0.80761,              0.0008912,              0.0008912,              0.0008912
                     17,                0.40136,                0.66158,                0.28071,                0.29298,                0.82481,                0.99956,                      1,                  0.995,                0.94511,                0.99956,                      1,                  0.995,                0.87236,                0.36639,                0.55541,                0.27187,                0.27734,                0.80152,               0.000812,               0.000812,               0.000812
                     18,                0.37421,                0.57746,                0.27116,                0.27889,                0.81175,                0.99987,                      1,                  0.995,                  0.924,                0.99629,                0.99642,                0.99482,                0.90963,                0.45043,                0.48157,                0.26116,                 0.2876,                0.81986,              0.0007328,              0.0007328,              0.0007328
                     19,                0.37886,                0.54486,                0.26688,                0.27428,                0.81408,                0.99988,                      1,                  0.995,                0.96218,                0.99988,                      1,                  0.995,                0.91332,                 0.3253,                 0.4471,                0.25869,                0.25397,                0.79145,              0.0006536,              0.0006536,              0.0006536
                     20,                0.34872,                0.50794,                0.26224,                0.26041,                0.80589,                0.99984,                      1,                  0.995,                0.97307,                0.99984,                      1,                  0.995,                0.92027,                0.28829,                0.42815,                0.25435,                0.22777,                0.78623,              0.0005744,              0.0005744,              0.0005744
                     21,                0.32533,                0.46986,                  0.258,                0.24624,                0.79776,                0.99988,                      1,                  0.995,                0.95757,                0.99988,                      1,                  0.995,                0.92353,                0.34856,                0.40556,                0.24988,                0.23854,                0.79611,              0.0004952,              0.0004952,              0.0004952
                     22,                0.30976,                0.45752,                0.25416,                0.23423,                0.79949,                0.99989,                      1,                  0.995,                0.97249,                0.99989,                      1,                  0.995,                 0.9351,                0.29442,                0.38468,                0.24774,                0.21268,                0.78535,               0.000416,               0.000416,               0.000416
