                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1839,                  8.466,                0.71454,                 1.0397,                 1.1809,                 0.9956,                0.99662,                0.99497,                0.82647,                0.25627,                0.25338,                0.08437,                0.01278,                 0.6609,                 6.3714,                 0.6677,                0.48436,                0.87641,             0.00065766,             0.00065766,             0.00065766
                      2,                0.89978,                 5.1681,                0.65404,                0.60346,                 1.0266,                0.97687,                0.99867,                0.99283,                0.80531,                0.57931,                0.59122,                0.38035,                0.10685,                0.68969,                 4.3895,                0.53409,                0.52356,                 0.8978,              0.0012981,              0.0012981,              0.0012981
                      3,                0.81348,                  3.608,                0.59081,                0.56187,                0.99482,                0.99983,                      1,                  0.995,                0.85557,                0.67311,                0.66892,                0.48389,                0.14019,                0.60213,                 2.9403,                0.47284,                0.43965,                0.87044,              0.0019121,              0.0019121,              0.0019121
                      4,                0.81527,                 2.9221,                0.56041,                0.55533,                 1.0003,                0.99456,                0.98986,                0.99483,                0.78167,                0.91849,                0.91366,                0.86563,                0.43446,                0.72944,                 1.9445,                0.45231,                0.59336,                0.90343,              0.0018812,              0.0018812,              0.0018812
                      5,                0.78802,                 2.5549,                 0.5424,                0.53469,                0.98306,                0.99412,                      1,                0.99493,                0.84095,                 0.9874,                0.99324,                0.99063,                0.59591,                0.64351,                  1.492,                0.43138,                0.53163,                0.88196,              0.0018812,              0.0018812,              0.0018812
                      6,                0.74373,                 2.2982,                0.52408,                0.49924,                0.96381,                0.98772,                0.99662,                0.99421,                0.86196,                0.98093,                0.98986,                0.98688,                0.67554,                0.55969,                 1.0998,                0.42222,                0.43501,                0.86985,              0.0018416,              0.0018416,              0.0018416
                      7,                0.71477,                 2.0604,                0.51684,                0.48059,                0.95522,                0.99898,                0.99662,                  0.995,                0.86049,                0.99898,                0.99662,                  0.995,                0.67055,                0.57666,                 1.1187,                 0.4065,                0.41135,                0.86751,               0.001802,               0.001802,               0.001802
                      8,                0.71357,                 1.9402,                0.50519,                0.48753,                0.95769,                0.99536,                0.99662,                  0.995,                0.87948,                0.99198,                0.99324,                 0.9949,                0.75954,                0.52925,                0.87023,                0.39503,                0.39469,                0.84879,              0.0017624,              0.0017624,              0.0017624
                      9,                0.70014,                  1.936,                0.49389,                0.46732,                0.95741,                0.99926,                      1,                  0.995,                0.88403,                0.99926,                      1,                  0.995,                0.78309,                0.51785,                0.78028,                0.38964,                0.38246,                0.86353,              0.0017228,              0.0017228,              0.0017228
                     10,                0.68521,                 1.8132,                0.49033,                0.46693,                0.94607,                0.99976,                      1,                  0.995,                0.89603,                0.99976,                      1,                  0.995,                0.74389,                0.47651,                0.97765,                0.40056,                0.36628,                0.82786,              0.0016832,              0.0016832,              0.0016832
                     11,                 0.6617,                 1.6121,                0.48455,                0.44485,                0.93735,                 0.9997,                      1,                  0.995,                0.91191,                 0.9997,                      1,                  0.995,                0.80961,                0.42213,                0.76677,                0.37257,                0.35618,                0.82987,              0.0016436,              0.0016436,              0.0016436
                     12,                0.63374,                 1.5958,                0.47312,                0.42948,                0.92343,                0.99895,                      1,                  0.995,                0.90623,                0.99598,                0.99662,                  0.995,                0.81681,                0.46238,                0.74641,                0.36937,                0.34554,                 0.8328,               0.001604,               0.001604,               0.001604
                     13,                0.61083,                 1.4707,                0.46117,                0.41866,                0.91714,                      1,                0.99973,                  0.995,                0.92039,                0.99623,                0.99324,                 0.9948,                0.81931,                0.42507,                0.74403,                0.37704,                0.33819,                0.81377,              0.0015644,              0.0015644,              0.0015644
                     14,                0.60842,                  1.536,                 0.4567,                0.41304,                0.91297,                0.99961,                      1,                  0.995,                0.89229,                0.99649,                0.99662,                  0.995,                 0.8171,                0.50432,                  0.719,                0.36057,                0.34077,                 0.8409,              0.0015248,              0.0015248,              0.0015248
                     15,                0.61413,                 1.3838,                0.44579,                0.41324,                0.92261,                0.99977,                      1,                  0.995,                  0.926,                0.99639,                0.99662,                0.99497,                0.85388,                0.41314,                0.65743,                0.35344,                 0.3127,                0.82281,              0.0014852,              0.0014852,              0.0014852
                     16,                0.56019,                 1.3047,                0.44415,                0.39284,                0.90255,                0.99973,                      1,                  0.995,                0.93046,                0.99973,                      1,                  0.995,                0.86643,                0.39868,                0.57427,                0.34971,                 0.2997,                0.81808,              0.0014456,              0.0014456,              0.0014456
                     17,                0.57039,                 1.3017,                0.43744,                0.38552,                0.90556,                0.99965,                      1,                  0.995,                 0.9297,                 0.9988,                0.99662,                  0.995,                0.91193,                0.39702,                0.50014,                 0.3417,                 0.2986,                0.82244,               0.001406,               0.001406,               0.001406
                     18,                0.55658,                  1.271,                0.43756,                0.38815,                 0.9027,                      1,                0.99953,                  0.995,                0.91165,                0.99662,                0.99615,                0.99493,                0.87961,                0.43963,                0.50278,                0.34498,                0.32536,                 0.8292,              0.0013664,              0.0013664,              0.0013664
                     19,                 0.5615,                 1.2117,                0.42588,                0.38572,                0.90436,                0.99964,                      1,                  0.995,                0.90565,                0.99964,                      1,                  0.995,                0.88063,                 0.4303,                0.49658,                0.34032,                0.30555,                0.81646,              0.0013268,              0.0013268,              0.0013268
                     20,                0.57723,                 1.2259,                0.42476,                0.38653,                0.90387,                 0.9997,                0.99662,                  0.995,                0.92232,                 0.9997,                0.99662,                  0.995,                0.82369,                0.40605,                 0.6809,                0.33959,                0.29006,                0.81973,              0.0012872,              0.0012872,              0.0012872
                     21,                0.54415,                 1.2161,                0.42055,                0.37286,                0.89691,                0.99977,                      1,                  0.995,                0.91835,                0.99977,                      1,                  0.995,                0.89923,                0.41014,                0.45262,                 0.3284,                 0.2979,                0.82426,              0.0012476,              0.0012476,              0.0012476
                     22,                0.52491,                 1.0705,                0.41438,                0.36216,                0.89594,                0.99969,                      1,                  0.995,                0.93857,                0.99969,                      1,                  0.995,                0.88415,                0.37191,                0.49704,                0.33005,                0.27215,                0.81579,               0.001208,               0.001208,               0.001208
                     23,                0.51719,                 1.0194,                0.41541,                0.35757,                0.88805,                0.99894,                      1,                  0.995,                0.95965,                0.99894,                      1,                  0.995,                0.91496,                0.32628,                0.45636,                0.33444,                0.26177,                0.79792,              0.0011684,              0.0011684,              0.0011684
                     24,                0.51767,                 1.0015,                0.41227,                0.35412,                0.88502,                0.99973,                      1,                  0.995,                0.93826,                0.99973,                      1,                  0.995,                0.91195,                0.35122,                0.42741,                0.33404,                0.27328,                0.80119,              0.0011288,              0.0011288,              0.0011288
                     25,                0.48615,                0.97634,                0.40715,                0.34415,                 0.8812,                0.99981,                      1,                  0.995,                 0.9505,                0.99981,                      1,                  0.995,                0.94017,                0.35687,                0.34288,                0.33162,                0.25645,                0.80642,              0.0010892,              0.0010892,              0.0010892
                     26,                0.50036,                0.93746,                0.40631,                0.34277,                0.88686,                0.99966,                      1,                  0.995,                0.93639,                0.99966,                      1,                  0.995,                0.93247,                0.37003,                0.38915,                0.32602,                0.26576,                0.81055,              0.0010496,              0.0010496,              0.0010496
                     27,                0.50371,                0.92412,                0.40886,                0.34253,                 0.8842,                 0.9998,                      1,                  0.995,                0.94823,                0.99506,                0.99324,                  0.995,                0.93595,                0.33107,                0.40513,                0.32985,                0.24809,                0.80077,                0.00101,                0.00101,                0.00101
                     28,                 0.4696,                0.92222,                0.40692,                0.32761,                0.87851,                0.99975,                      1,                  0.995,                0.96392,                0.99975,                      1,                  0.995,                0.94153,                0.30097,                0.33695,                0.32481,                0.24271,                0.79634,              0.0009704,              0.0009704,              0.0009704
                     29,                 0.4642,                0.89323,                0.40334,                0.32541,                0.87763,                0.99981,                      1,                  0.995,                0.96396,                0.99981,                      1,                  0.995,                0.93131,                0.31312,                0.36627,                0.32532,                0.24735,                0.79665,              0.0009308,              0.0009308,              0.0009308
                     30,                0.46505,                0.89345,                0.40529,                0.33015,                0.87354,                0.99972,                      1,                  0.995,                0.96087,                0.99972,                      1,                  0.995,                 0.9312,                0.32051,                0.38078,                0.32972,                0.24045,                0.79324,              0.0008912,              0.0008912,              0.0008912
                     31,                0.44041,                0.81546,                0.40025,                0.31551,                0.87039,                0.99966,                      1,                  0.995,                0.96867,                0.99966,                      1,                  0.995,                 0.9434,                0.29577,                0.32827,                0.32306,                0.22902,                0.79348,              0.0008516,              0.0008516,              0.0008516
                     32,                0.44229,                 0.7822,                0.39667,                0.30606,                 0.8666,                0.99981,                      1,                  0.995,                0.96726,                0.99981,                      1,                  0.995,                0.95173,                0.29566,                0.29903,                0.31585,                0.23052,                0.79067,               0.000812,               0.000812,               0.000812
                     33,                0.43505,                0.77999,                0.39847,                0.30366,                0.86099,                 0.9998,                      1,                  0.995,                 0.9516,                 0.9998,                      1,                  0.995,                0.96316,                0.33482,                 0.2972,                0.31307,                0.23506,                0.79763,              0.0007724,              0.0007724,              0.0007724
                     34,                0.44112,                0.77269,                0.38963,                 0.3079,                0.86547,                0.99972,                      1,                  0.995,                0.95967,                0.99972,                      1,                  0.995,                0.97015,                0.29767,                0.27788,                0.31327,                0.22572,                0.79523,              0.0007328,              0.0007328,              0.0007328
                     35,                0.42489,                0.71248,                0.38428,                0.29598,                0.85985,                0.99966,                      1,                  0.995,                0.96836,                0.99966,                      1,                  0.995,                0.96326,                0.27972,                0.26295,                0.31142,                0.21328,                 0.7929,              0.0006932,              0.0006932,              0.0006932
                     36,                0.41792,                0.67185,                0.38973,                0.29081,                0.85575,                0.99978,                      1,                  0.995,                0.96806,                0.99978,                      1,                  0.995,                0.96387,                0.28465,                0.23974,                 0.3064,                0.21945,                0.79411,              0.0006536,              0.0006536,              0.0006536
                     37,                0.40994,                0.63115,                0.38076,                0.28932,                0.86337,                0.99977,                      1,                  0.995,                0.97614,                0.99977,                      1,                  0.995,                0.97866,                0.27933,                0.23493,                0.30447,                0.21697,                0.79189,               0.000614,               0.000614,               0.000614
                     38,                0.39992,                0.62791,                0.38211,                 0.2832,                0.85451,                0.99973,                      1,                  0.995,                0.97535,                0.99973,                      1,                  0.995,                0.97782,                0.27408,                0.22006,                0.31342,                0.21395,                 0.7879,              0.0005744,              0.0005744,              0.0005744
                     39,                0.38895,                0.64221,                0.38904,                0.27989,                0.85419,                0.99979,                      1,                  0.995,                0.98167,                0.99979,                      1,                  0.995,                0.97166,                 0.2631,                 0.2279,                 0.3099,                0.20845,                0.78511,              0.0005348,              0.0005348,              0.0005348
                     40,                0.41056,                0.63471,                0.38949,                0.28919,                0.86545,                0.99979,                      1,                  0.995,                  0.979,                0.99979,                      1,                  0.995,                0.97748,                0.26524,                0.20648,                0.30369,                0.19836,                0.78815,              0.0004952,              0.0004952,              0.0004952
                     41,                 0.3003,                0.24639,                0.30607,                0.22134,                0.78024,                0.99968,                      1,                  0.995,                0.98141,                0.99968,                      1,                  0.995,                 0.9803,                0.25734,                0.19184,                 0.2872,                0.21023,                0.79091,              0.0004556,              0.0004556,              0.0004556
                     42,                 0.2814,                  0.239,                0.29273,                0.22341,                0.78943,                0.99974,                      1,                  0.995,                0.97877,                0.99974,                      1,                  0.995,                0.98026,                0.27183,                0.18075,                0.28077,                0.21477,                0.78775,               0.000416,               0.000416,               0.000416
                     43,                0.26586,                0.20852,                0.28633,                0.21706,                0.78276,                 0.9998,                      1,                  0.995,                0.98376,                 0.9998,                      1,                  0.995,                0.98997,                0.24617,                0.14583,                0.27417,                0.20043,                0.78399,              0.0003764,              0.0003764,              0.0003764
                     44,                0.25716,                0.19521,                0.27827,                0.20553,                0.77965,                0.99979,                      1,                  0.995,                 0.9821,                0.99979,                      1,                  0.995,                0.98492,                0.23947,                 0.1494,                0.27193,                0.19333,                0.78502,              0.0003368,              0.0003368,              0.0003368
                     45,                0.24964,                0.17916,                0.27725,                0.19635,                 0.7846,                0.99982,                      1,                  0.995,                0.98644,                0.99982,                      1,                  0.995,                0.98942,                0.23624,                0.13771,                0.26956,                0.19281,                0.78311,              0.0002972,              0.0002972,              0.0002972
                     46,                0.24301,                0.17468,                0.27665,                0.19567,                0.78768,                 0.9998,                      1,                  0.995,                0.98263,                 0.9998,                      1,                  0.995,                0.98999,                0.24212,                0.14141,                0.26779,                0.18507,                0.78179,              0.0002576,              0.0002576,              0.0002576
                     47,                0.23492,                0.16905,                0.27428,                0.18775,                0.78223,                0.99979,                      1,                  0.995,                0.98889,                0.99979,                      1,                  0.995,                0.99174,                0.21944,                0.12842,                0.26806,                0.17835,                0.77863,               0.000218,               0.000218,               0.000218
