                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3015,                 9.3556,                0.68355,                 2.0109,                 1.2331,                0.96415,                0.96701,                0.99413,                0.75138,                      0,                      0,                      0,                      0,                0.90743,                 8.0731,                0.63916,                 1.2677,                0.97769,             0.00054455,             0.00054455,             0.00054455
                      2,                0.99404,                 7.4649,                0.57854,                  1.022,                  1.051,                0.93824,                0.98777,                0.99333,                0.77352,                0.13615,                0.14545,                0.02996,                 0.0048,                 0.8194,                 6.2841,                0.39779,                0.96336,                 1.0024,              0.0010784,              0.0010784,              0.0010784
                      3,                0.91792,                 6.3332,                0.48628,                0.88672,                 1.0373,                0.99606,                0.99839,                  0.995,                0.76621,                0.38988,                0.39171,                0.15683,                0.02892,                0.86494,                 5.2071,                0.23558,                0.77279,                0.99322,              0.0015903,              0.0015903,              0.0015903
                      4,                0.96244,                 5.7557,                0.43895,                0.82957,                  1.063,                0.95469,                   0.96,                0.99338,                0.84239,                0.46887,                0.44222,                0.23864,                0.04228,                 0.6452,                 4.4966,                0.14124,                0.85646,                 0.9079,               0.001568,               0.001568,               0.001568
                      5,                0.83288,                  4.649,                0.39946,                0.71132,                0.99715,                0.98085,                0.99334,                0.99426,                0.83187,                0.74853,                0.73869,                0.62807,                0.18538,                0.67027,                 3.3145,                 0.1284,                0.60993,                0.90768,               0.001568,               0.001568,               0.001568
                      6,                0.82832,                 4.2834,                0.41244,                0.66945,                0.99197,                0.98428,                  0.975,                0.99163,                0.79423,                0.89651,                0.86449,                0.84725,                 0.2716,                0.74139,                 2.8009,                0.12221,                0.61423,                0.93092,               0.001535,               0.001535,               0.001535
                      7,                 0.8411,                 3.8379,                0.38769,                0.65249,                 1.0082,                 0.9517,                  0.985,                0.99117,                0.83687,                0.88601,                0.82939,                0.81444,                0.25865,                0.62244,                  2.867,                0.10403,                0.57425,                0.90274,               0.001502,               0.001502,               0.001502
                      8,                0.81281,                 3.5958,                 0.3946,                0.61551,                0.98573,                0.99217,                0.98964,                0.99276,                0.85308,                0.93168,                0.92952,                0.89574,                0.36934,                0.61716,                 2.3451,                0.11347,                0.56144,                0.89735,               0.001469,               0.001469,               0.001469
                      9,                0.81345,                 3.2771,                 0.3803,                0.58799,                0.98203,                0.98779,                      1,                 0.9949,                0.82027,                0.95297,                 0.9648,                0.95272,                0.45611,                0.69124,                 2.0692,                0.11269,                0.50061,                0.90535,               0.001436,               0.001436,               0.001436
                     10,                0.75982,                 3.0855,                0.38058,                0.55929,                0.96596,                0.99592,                0.98995,                0.99485,                0.86864,                0.97467,                0.99281,                0.98959,                0.49249,                0.56412,                 1.7964,                0.10628,                0.48554,                0.87705,              0.0014029,              0.0014029,              0.0014029
                     11,                0.72675,                 2.9549,                0.38624,                0.58461,                0.96616,                0.99788,                      1,                  0.995,                0.86413,                0.95755,                 0.9597,                0.92697,                0.46772,                0.57278,                 1.7512,                0.10601,                0.50678,                0.88945,              0.0013699,              0.0013699,              0.0013699
                     12,                0.74446,                 2.8582,                0.37501,                0.55139,                 0.9667,                0.99123,                      1,                 0.9949,                 0.8264,                0.97139,                0.97995,                0.96401,                0.52176,                 0.6681,                 1.6516,                0.11629,                0.53393,                0.90965,              0.0013369,              0.0013369,              0.0013369
                     13,                0.75324,                 2.9227,                0.39895,                0.54244,                0.97041,                0.99139,                      1,                 0.9949,                0.83696,                0.96204,                0.96475,                0.93742,                0.54596,                0.63818,                 1.6236,                0.12296,                0.48123,                0.90514,              0.0013039,              0.0013039,              0.0013039
                     14,                0.71694,                 2.6147,                0.36978,                0.52702,                0.96554,                0.99257,                      1,                 0.9949,                 0.8593,                0.94887,                0.95985,                0.93387,                0.49534,                0.56031,                 1.7414,                0.10908,                0.43828,                 0.8831,              0.0012709,              0.0012709,              0.0012709
                     15,                0.68855,                 2.5318,                 0.3628,                0.50402,                0.95119,                0.99442,                 0.9838,                0.99456,                0.88467,                0.97917,                0.96879,                0.97515,                0.63498,                0.53243,                 1.4243,                0.11174,                0.40948,                0.86969,              0.0012379,              0.0012379,              0.0012379
                     16,                0.72997,                 2.3637,                0.35211,                0.51658,                0.96105,                 0.9922,                0.99007,                 0.9949,                0.86989,                0.98796,                0.98497,                0.98849,                0.64733,                0.53269,                 1.2701,                0.11684,                0.42037,                0.86354,              0.0012049,              0.0012049,              0.0012049
                     17,                  0.662,                 2.2201,                0.34479,                0.47055,                0.93865,                0.99721,                      1,                  0.995,                0.88101,                0.99721,                      1,                  0.995,                0.70199,                 0.5053,                 1.0484,                0.10768,                0.38331,                0.86021,              0.0011719,              0.0011719,              0.0011719
                     18,                 0.6634,                 2.2084,                0.34842,                 0.4844,                0.93476,                0.99705,                      1,                  0.995,                0.89501,                0.99206,                  0.995,                0.99379,                0.71601,                0.48862,                  1.074,                0.10344,                0.36249,                0.85408,              0.0011389,              0.0011389,              0.0011389
                     19,                 0.6474,                 2.0838,                0.32768,                0.45824,                0.93107,                0.99844,                      1,                  0.995,                0.89696,                0.97859,                0.98421,                0.98024,                0.69972,                0.46787,                 1.0609,                0.09792,                0.37166,                0.84968,              0.0011059,              0.0011059,              0.0011059
                     20,                0.67975,                  2.077,                0.34725,                0.46314,                0.94032,                0.99078,                0.99056,                 0.9948,                0.87597,                0.99078,                0.99056,                0.99476,                 0.7287,                0.53638,                0.95592,                0.10604,                0.38149,                0.86713,              0.0010729,              0.0010729,              0.0010729
                     21,                0.64443,                 1.9919,                0.33873,                0.45354,                0.93582,                0.99807,                      1,                  0.995,                0.89893,                0.99807,                      1,                  0.995,                0.69984,                0.46843,                 1.0381,                0.10022,                0.34056,                0.84065,              0.0010399,              0.0010399,              0.0010399
                     22,                0.60424,                 1.8978,                0.32256,                0.42659,                 0.9118,                0.99717,                      1,                  0.995,                0.90556,                0.99717,                      1,                  0.995,                0.74609,                0.43591,                0.91863,                0.10193,                0.35048,                0.83815,              0.0010069,              0.0010069,              0.0010069
                     23,                0.61101,                 1.8289,                0.33014,                0.43634,                0.92817,                0.99892,                      1,                  0.995,                0.90759,                0.99434,                  0.995,                0.99098,                0.77022,                0.43405,                0.81881,                0.10659,                0.32731,                0.83523,             0.00097386,             0.00097386,             0.00097386
                     24,                0.61986,                 1.8515,                0.31486,                0.44268,                0.93051,                0.99758,                      1,                  0.995,                0.89696,                0.99758,                      1,                  0.995,                0.73612,                 0.4651,                0.85638,                0.09767,                 0.3343,                0.84628,             0.00094085,             0.00094085,             0.00094085
                     25,                 0.5916,                 1.7283,                0.31484,                0.41459,                0.91045,                 0.9991,                      1,                  0.995,                0.90139,                0.99405,                0.99495,                0.99068,                 0.7646,                0.46891,                0.81016,                0.09509,                0.33217,                0.84506,             0.00090785,             0.00090785,             0.00090785
                     26,                0.56267,                 1.6986,                0.30005,                0.40174,                0.90909,                0.99905,                      1,                  0.995,                0.91132,                0.99905,                      1,                  0.995,                0.79884,                0.42663,                0.72151,                0.09565,                0.30986,                0.83805,             0.00087484,             0.00087484,             0.00087484
                     27,                0.57449,                  1.675,                0.31439,                0.40099,                0.90468,                 0.9968,                      1,                  0.995,                0.91577,                0.99183,                  0.995,                 0.9948,                0.81797,                0.41594,                0.68442,                0.10112,                0.29442,                0.83003,             0.00084184,             0.00084184,             0.00084184
                     28,                0.57461,                 1.6083,                0.30019,                0.39194,                0.90805,                0.99895,                      1,                  0.995,                0.91071,                0.99895,                      1,                  0.995,                 0.8252,                0.44031,                 0.6576,                0.09324,                0.32057,                0.83668,             0.00080883,             0.00080883,             0.00080883
                     29,                0.57437,                 1.6301,                 0.3014,                0.40226,                0.91778,                  0.999,                0.99893,                  0.995,                 0.9034,                  0.999,                0.99893,                  0.995,                0.81982,                0.44904,                0.70845,                0.09292,                0.31867,                0.83851,             0.00077582,             0.00077582,             0.00077582
                     30,                 0.5448,                 1.5511,                0.28395,                0.38782,                0.89028,                 0.9978,                  0.995,                0.99495,                0.91744,                 0.9978,                  0.995,                0.99495,                0.80559,                 0.4187,                0.67052,                0.09329,                0.30708,                0.83079,             0.00074282,             0.00074282,             0.00074282
                     31,                0.56228,                 1.4491,                0.29677,                0.38768,                0.90569,                0.99895,                0.99952,                  0.995,                0.90994,                0.99895,                0.99952,                  0.995,                0.81966,                0.41595,                0.67265,                0.09176,                0.30126,                0.82932,             0.00070981,             0.00070981,             0.00070981
                     32,                0.53805,                 1.4859,                0.28559,                0.38024,                0.89377,                0.99835,                0.99966,                  0.995,                0.91617,                0.99835,                0.99966,                  0.995,                0.84457,                0.40412,                0.58671,                0.08565,                0.29164,                0.82479,              0.0006768,              0.0006768,              0.0006768
                     33,                0.53555,                 1.4617,                0.27695,                0.36986,                 0.8959,                0.99892,                      1,                  0.995,                0.91928,                0.99892,                      1,                  0.995,                0.85849,                0.41408,                 0.5738,                0.08512,                0.28981,                0.82803,              0.0006438,              0.0006438,              0.0006438
                     34,                0.53077,                 1.3945,                0.27451,                0.37608,                0.89477,                  0.999,                      1,                  0.995,                0.91932,                  0.999,                      1,                  0.995,                0.84799,                0.40499,                0.61562,                0.08692,                0.29089,                0.82681,             0.00061079,             0.00061079,             0.00061079
                     35,                0.52665,                 1.3666,                0.27086,                0.36465,                 0.8926,                0.99907,                      1,                  0.995,                0.90813,                0.99907,                      1,                  0.995,                  0.862,                0.45657,                0.58991,                 0.0817,                0.29935,                0.83993,             0.00057778,             0.00057778,             0.00057778
