                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7511,                 10.198,                0.70679,                 3.0798,                 1.6187,                0.89716,                 0.8872,                0.93966,                0.66484,                      0,                      0,                      0,                      0,                0.93204,                  10.17,                0.67917,                 1.7667,                 1.0142,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.1869,                 9.1545,                0.68962,                 1.3724,                  1.128,                0.93341,                0.98305,                0.98397,                0.76384,                      0,                      0,                      0,                      0,                0.80341,                 9.4654,                0.66729,                 1.1652,                0.96932,             0.00047386,             0.00047386,             0.00047386
                      3,                 1.1233,                 8.4386,                0.66812,                 1.2449,                 1.1109,                0.99038,                      1,                  0.995,                0.73641,                      0,                      0,                      0,                      0,                0.88165,                 8.6409,                0.63239,                 1.7319,                0.99611,             0.00070443,             0.00070443,             0.00070443
                      4,                 1.0548,                 7.9066,                0.63071,                 1.0228,                 1.0922,                0.89121,                      1,                0.98284,                0.71425,                      0,                      0,                      0,                      0,                0.98525,                  7.606,                0.57741,                 1.1633,                 1.0552,             0.00092511,             0.00092511,             0.00092511
                      5,                0.99374,                 7.2033,                0.59348,                0.94476,                  1.059,                0.90544,                0.81146,                0.90316,                0.59467,                0.10219,                0.08475,                0.00942,                 0.0014,                 1.1224,                 7.2324,                0.50341,                  1.468,                 1.1922,              0.0011359,              0.0011359,              0.0011359
                      6,                0.98672,                 6.9899,                 0.5653,                 0.9243,                 1.0543,                0.96649,                0.97766,                0.98924,                 0.7416,                0.08466,                 0.0678,                0.00695,                0.00122,                0.84101,                 6.5585,                 0.4249,                0.92864,                 1.0075,              0.0013368,              0.0013368,              0.0013368
                      7,                0.97109,                  6.436,                0.52513,                0.87991,                 1.0543,                0.89277,                0.98788,                0.97842,                0.74329,                0.07244,                0.08475,                0.00661,                 0.0007,                0.83253,                 6.4751,                 0.3609,                0.87878,                0.97722,               0.001469,               0.001469,               0.001469
                      8,                0.97345,                 5.9042,                0.49774,                0.83051,                 1.0584,                0.83974,                0.97698,                 0.9585,                0.76461,                0.15509,                0.18644,                0.03217,                  0.005,                0.79921,                 5.9839,                0.29263,                 1.1157,                0.97895,               0.001469,               0.001469,               0.001469
                      9,                0.94547,                 5.6943,                0.50142,                0.80871,                 1.0555,                 0.9832,                0.99218,                 0.9945,                0.81273,                0.28788,                0.27119,                0.09429,                0.01404,                0.70738,                 5.2504,                0.26908,                0.79856,                0.93715,               0.001436,               0.001436,               0.001436
                     10,                0.88776,                 5.2831,                 0.4877,                0.75215,                 1.0158,                0.96656,                0.97977,                0.99307,                0.79287,                0.23657,                0.23729,                0.07176,                 0.0136,                0.74567,                  5.021,                0.20889,                0.72163,                0.93537,              0.0014029,              0.0014029,              0.0014029
                     11,                0.90695,                 5.0973,                0.44639,                0.75238,                 1.0138,                0.99011,                 0.9661,                0.98948,                 0.7703,                0.59387,                0.55932,                0.36951,                0.08179,                0.72023,                 4.3913,                0.18189,                0.73851,                0.92175,              0.0013699,              0.0013699,              0.0013699
                     12,                0.85595,                 4.7691,                0.45069,                0.70042,                0.99675,                0.99894,                      1,                  0.995,                0.76812,                0.43249,                0.42373,                0.20715,                 0.0424,                 0.7723,                 4.4195,                 0.1472,                0.64229,                0.95296,              0.0013369,              0.0013369,              0.0013369
                     13,                0.88893,                 4.6668,                0.43526,                0.70875,                 1.0204,                0.99834,                0.98305,                0.99483,                0.81036,                0.39578,                0.38983,                0.16955,                0.03457,                0.71543,                 4.7041,                 0.1412,                0.59566,                0.92526,              0.0013039,              0.0013039,              0.0013039
                     14,                0.85028,                 4.2668,                0.42565,                0.66184,                0.99372,                      1,                0.99538,                  0.995,                0.85947,                0.57082,                0.57627,                0.38243,                 0.0674,                 0.6076,                 3.7597,                0.13654,                0.54417,                0.89237,              0.0012709,              0.0012709,              0.0012709
                     15,                0.82904,                 4.1884,                0.43102,                0.63812,                 1.0072,                0.99269,                      1,                  0.995,                0.85044,                0.87437,                0.88136,                0.78136,                0.23083,                0.65614,                 2.8534,                0.13113,                0.54383,                0.91171,              0.0012379,              0.0012379,              0.0012379
                     16,                0.83364,                 4.0302,                0.41974,                0.63828,                 1.0036,                0.96548,                      1,                0.99145,                0.82974,                 0.8931,                0.89831,                0.86939,                0.26828,                0.65949,                 2.8991,                 0.1298,                0.53709,                0.90695,              0.0012049,              0.0012049,              0.0012049
                     17,                 0.8261,                   3.87,                0.41517,                0.60867,                0.99707,                0.99817,                      1,                  0.995,                0.83276,                0.89169,                0.84746,                0.82751,                0.21915,                0.65886,                 3.0533,                0.13787,                 0.5961,                0.91008,              0.0011719,              0.0011719,              0.0011719
                     18,                0.83122,                 3.9898,                0.43555,                0.63925,                0.99275,                0.99629,                0.98305,                0.99036,                0.82264,                0.85845,                0.84746,                0.74601,                0.22076,                0.67686,                 2.8696,                0.12915,                0.61493,                 0.9218,              0.0011389,              0.0011389,              0.0011389
                     19,                0.88909,                 4.1101,                0.42613,                0.64563,                 1.0258,                0.94993,                0.96463,                0.98811,                0.80164,                0.82729,                0.77966,                 0.7426,                0.22982,                0.72855,                 3.1024,                 0.1379,                   0.64,                0.95843,              0.0011059,              0.0011059,              0.0011059
                     20,                 0.8054,                 3.4734,                0.38221,                0.59977,                0.97219,                0.99846,                      1,                  0.995,                0.85268,                0.96461,                 0.9661,                0.93407,                0.39246,                0.64935,                 2.2456,                0.11508,                0.50136,                0.90606,              0.0010729,              0.0010729,              0.0010729
                     21,                0.76935,                 3.2965,                0.36575,                0.57208,                0.95776,                0.99837,                      1,                  0.995,                0.83698,                0.96453,                 0.9661,                 0.9329,                0.38089,                0.64713,                 2.2397,                  0.113,                0.50945,                 0.9056,              0.0010399,              0.0010399,              0.0010399
                     22,                0.87099,                 3.6112,                0.41257,                0.60198,                0.99562,                0.99791,                      1,                  0.995,                0.85521,                0.98099,                0.98305,                0.97859,                0.44729,                 0.6016,                 2.0289,                0.12275,                0.47572,                 0.8768,              0.0010069,              0.0010069,              0.0010069
                     23,                0.79799,                 3.6554,                0.44477,                0.59559,                0.97975,                0.99824,                      1,                  0.995,                0.85823,                0.94748,                0.94915,                0.92398,                0.47858,                0.57647,                 2.1168,                0.11191,                0.43874,                0.87774,             0.00097386,             0.00097386,             0.00097386
                     24,                 0.7685,                 3.0777,                0.42187,                0.57888,                0.97605,                 0.9986,                      1,                  0.995,                0.86305,                 0.9986,                      1,                  0.995,                 0.5256,                0.56335,                 1.8756,                0.11879,                0.45457,                0.87833,             0.00094085,             0.00094085,             0.00094085
                     25,                0.75338,                 3.0829,                0.42386,                0.54316,                0.95997,                0.99751,                      1,                  0.995,                0.85184,                0.99751,                      1,                  0.995,                0.52889,                0.60934,                 1.7564,                0.11552,                0.45156,                0.88644,             0.00090785,             0.00090785,             0.00090785
